date,date_id,year,quarter,month,month_name,year_month,day,weekday,weekday_name,is_weekend,is_complete_month
2016-05-30,20160530,2016,2,5,May,2016-05,30,1,Mon,False,False
2016-05-31,20160531,2016,2,5,May,2016-05,31,2,Tue,False,False
2016-06-01,20160601,2016,2,6,Jun,2016-06,1,3,Wed,False,False
2016-06-02,20160602,2016,2,6,Jun,2016-06,2,4,Thu,False,False
2016-06-03,20160603,2016,2,6,Jun,2016-06,3,5,Fri,False,False
2016-06-04,20160604,2016,2,6,Jun,2016-06,4,6,Sat,True,False
2016-06-05,20160605,2016,2,6,Jun,2016-06,5,7,Sun,True,False
2016-06-06,20160606,2016,2,6,Jun,2016-06,6,1,Mon,False,False
2016-06-07,20160607,2016,2,6,Jun,2016-06,7,2,Tue,False,False
2016-06-08,20160608,2016,2,6,Jun,2016-06,8,3,Wed,False,False
2016-06-09,20160609,2016,2,6,Jun,2016-06,9,4,Thu,False,False
2016-06-10,20160610,2016,2,6,Jun,2016-06,10,5,Fri,False,False
2016-06-11,20160611,2016,2,6,Jun,2016-06,11,6,Sat,True,False
2016-06-12,20160612,2016,2,6,Jun,2016-06,12,7,Sun,True,False
2016-06-13,20160613,2016,2,6,Jun,2016-06,13,1,Mon,False,False
2016-06-14,20160614,2016,2,6,Jun,2016-06,14,2,Tue,False,False
2016-06-15,20160615,2016,2,6,Jun,2016-06,15,3,Wed,False,False
2016-06-16,20160616,2016,2,6,Jun,2016-06,16,4,Thu,False,False
2016-06-17,20160617,2016,2,6,Jun,2016-06,17,5,Fri,False,False
2016-06-18,20160618,2016,2,6,Jun,2016-06,18,6,Sat,True,False
2016-06-19,20160619,2016,2,6,Jun,2016-06,19,7,Sun,True,False
2016-06-20,20160620,2016,2,6,Jun,2016-06,20,1,Mon,False,False
2016-06-21,20160621,2016,2,6,Jun,2016-06,21,2,Tue,False,False
2016-06-22,20160622,2016,2,6,Jun,2016-06,22,3,Wed,False,False
2016-06-23,20160623,2016,2,6,Jun,2016-06,23,4,Thu,False,False
2016-06-24,20160624,2016,2,6,Jun,2016-06,24,5,Fri,False,False
2016-06-25,20160625,2016,2,6,Jun,2016-06,25,6,Sat,True,False
2016-06-26,20160626,2016,2,6,Jun,2016-06,26,7,Sun,True,False
2016-06-27,20160627,2016,2,6,Jun,2016-06,27,1,Mon,False,False
2016-06-28,20160628,2016,2,6,Jun,2016-06,28,2,Tue,False,False
2016-06-29,20160629,2016,2,6,Jun,2016-06,29,3,Wed,False,False
2016-06-30,20160630,2016,2,6,Jun,2016-06,30,4,Thu,False,False
2016-07-01,20160701,2016,3,7,Jul,2016-07,1,5,Fri,False,False
2016-07-02,20160702,2016,3,7,Jul,2016-07,2,6,Sat,True,False
2016-07-03,20160703,2016,3,7,Jul,2016-07,3,7,Sun,True,False
2016-07-04,20160704,2016,3,7,Jul,2016-07,4,1,Mon,False,False
2016-07-05,20160705,2016,3,7,Jul,2016-07,5,2,Tue,False,False
2016-07-06,20160706,2016,3,7,Jul,2016-07,6,3,Wed,False,False
2016-07-07,20160707,2016,3,7,Jul,2016-07,7,4,Thu,False,False
2016-07-08,20160708,2016,3,7,Jul,2016-07,8,5,Fri,False,False
2016-07-09,20160709,2016,3,7,Jul,2016-07,9,6,Sat,True,False
2016-07-10,20160710,2016,3,7,Jul,2016-07,10,7,Sun,True,False
2016-07-11,20160711,2016,3,7,Jul,2016-07,11,1,Mon,False,False
2016-07-12,20160712,2016,3,7,Jul,2016-07,12,2,Tue,False,False
2016-07-13,20160713,2016,3,7,Jul,2016-07,13,3,Wed,False,False
2016-07-14,20160714,2016,3,7,Jul,2016-07,14,4,Thu,False,False
2016-07-15,20160715,2016,3,7,Jul,2016-07,15,5,Fri,False,False
2016-07-16,20160716,2016,3,7,Jul,2016-07,16,6,Sat,True,False
2016-07-17,20160717,2016,3,7,Jul,2016-07,17,7,Sun,True,False
2016-07-18,20160718,2016,3,7,Jul,2016-07,18,1,Mon,False,False
2016-07-19,20160719,2016,3,7,Jul,2016-07,19,2,Tue,False,False
2016-07-20,20160720,2016,3,7,Jul,2016-07,20,3,Wed,False,False
2016-07-21,20160721,2016,3,7,Jul,2016-07,21,4,Thu,False,False
